,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
1363,1364,2523  - CZAPSKI Piotr,V2H,183,44:30:23,23:46:07,PL
1364,1365,2187  - MADELIN Olivier TRANKILOS,V1H,610,44:30:47,23:46:31,FR
1365,1366,393  - AUTERIVES Florence,V2F,11,44:31:45,23:47:29,FR
1366,1367,1915  - CLIFTON Luke,V2H,184,44:31:54,23:47:38,GB
1367,1368,2185  - LELU Olivier BROCELIANDE AVENTURE 35,V1H,611,44:32:37,23:48:21,FR
1368,1369,346  - DOKPROM Pitak COLUMBIA THAILAND,V1H,612,44:33:48,23:49:32,TH
1369,1370,1614  - XIAO Shuai 复旦MBA跑团,SEH,443,44:34:02,23:49:46,CN
1370,1371,2056  - MIEDZIK Tomasz,V1H,613,44:34:07,23:49:51,PL
1371,1372,709  - PENG Qian,SEF,52,44:34:11,23:49:55,CN
1372,1373,2526  - PELISSIER Regis,V1H,614,44:34:48,23:50:32,FR
1373,1374,2164  - AKIBA Kotaro TEAM☆AKINOMICHI,V2H,185,44:34:56,23:50:40,JP
1374,1375,1570  - CORAY Roger FALCONS MC,V2H,186,44:35:48,23:51:32,CH
1375,1376,1783  - WILLIS Steve,V2H,187,44:35:56,23:51:40,GB
1376,1377,2622  - SIEJEK Krzysztof,V1H,615,44:36:24,23:52:08,PL
1377,1378,1577  - FENTON Paul,V1H,616,44:36:27,23:52:11,GB
1378,1379,1802  - BRES Stéphane,V2H,188,44:36:32,23:52:16,FR
1379,1380,1836  - NGUYEN Truong Son CAP ENDURANCE / ALBOUGUENAIS,V1H,617,44:36:53,23:52:37,FR
1380,1381,2318  - ROGES David CAP ENDURANCE,V1H,618,44:36:54,23:52:38,FR
1381,1382,1560  - GODET Yann CAP ENDURANCE,V1H,619,44:36:55,23:52:39,FR
1382,1383,459  - SIMON Arnaud,V1H,620,44:37:36,23:53:20,FR
1383,1384,2541  - VIEUILLE Stéphane,V1H,621,44:38:19,23:54:03,FR
1384,1385,2121  - GONZALEZ MARTINEZ Juan Andres C.E.E TRAIL CLUB,V2H,189,44:38:29,23:54:13,ES
1385,1386,1768  - HUERTAS PARDO Manuel JARAPALOS TRAIL,V1H,622,44:38:31,23:54:15,ES
1386,1387,1125  - POMARES NAVARRO Hector RUNIAM,SEH,444,44:38:43,23:54:27,ES
1387,1388,1419  - DUAULT Yann SPAC,V1H,623,44:39:02,23:54:46,FR
1388,1389,2666  - VASSILAS Costas SMARTRUN,V2H,190,44:39:43,23:55:27,GR
1389,1390,2349  - NARITA Jou,V1H,624,44:40:00,23:55:44,JP
1390,1391,1180  - MALGARINI Matteo,SEH,445,44:40:28,23:56:12,IT
1391,1392,2717  - OUBRIER Jacques,V1H,625,44:40:42,23:56:26,FR
1392,1393,2692  - CHAPELLE Florian,SEH,446,44:42:29,23:58:13,FR
1393,1394,2533  - JAWORSKI Marcin JAWORSKI TEAM,V1H,626,44:42:30,23:58:14,PL
1394,1395,1727  - SIMOES Joel A20KM - Securitas - W Shopping,SEH,447,44:42:37,23:58:21,PT
1395,1396,2045  - MABBOUX Florence SPAC,V1F,54,44:42:44,23:58:28,FR
1396,1397,2281  - IWAZAKI Osamu,SEH,448,44:42:51,23:58:35,JP
1397,1398,2525  - CHENG Wing Ming Patrick,V1H,627,44:44:03,23:59:47,HK
1398,1399,2385  - LUK Cheuk Ho HIKGROUP,SEH,449,44:44:04,23:59:48,HK
1399,1400,341  - BRERO Olivier,V1H,628,44:44:29,24:00:13,FR
1400,1401,2058  - RAMOS-MANUZ MARTIN Jorge TWONAMES TRAIL,V1H,629,44:44:43,24:00:27,ES
1401,1402,2875  - KINNEN Sylvain,V1H,630,44:45:38,24:01:22,FR
1402,1403,2448  - HÜTTER-QUAAS Andre DO OR DIE,SEH,450,44:45:42,24:01:26,DE
1403,1404,2124  - BOYER Jonathan,SEH,451,44:46:17,24:02:01,FR
1404,1405,2506  - LIVERTOUX Bruno,V1H,631,44:46:34,24:02:18,FR
1405,1406,1196  - BERGAMIN Fabio UP&DOWN/EMME RUNNING,V1H,632,44:46:37,24:02:21,IT
1406,1407,2234  - HANAYAMA Kiyoshi,V1H,633,44:46:49,24:02:33,JP
1407,1408,1296  - DOUTRELEAU Ivan,SEH,452,44:46:51,24:02:35,PY
1408,1409,1773  - KERHORNOU thierry AS MONACO,V2H,191,44:47:02,24:02:46,FR
1409,1410,2895  - CHEN Yueliang HOT POT,V2H,192,44:47:40,24:03:24,CN
1410,1411,1212  - CARRATELLO Ilaria GLI ORSI,SEF,53,44:48:20,24:04:04,IT
1411,1412,1461  - CASTRO HERNÁNDEZ Jordán Club Montaña Guardia Civil,V1H,634,44:48:40,24:04:24,ES
1412,1413,2570  - LAW Wai Man,V3H,14,44:48:44,24:04:28,HK
1413,1414,1494  - ELFVING Jesper LIKE2RUN.DK,V2H,193,44:48:57,24:04:41,DK
1414,1415,1826  - LARDENOIS Thierry ASPHALTE94,V2H,194,44:49:21,24:05:05,FR
1415,1416,2191  - SVENSSON Johan Kampamento Base,V1H,635,44:49:24,24:05:08,SE
1416,1417,1968  - MOLFETTI Mathieu Team CE leman industrie,V1H,636,44:49:57,24:05:41,FR
1417,1418,2635  - ZHAO Yingkai,SEH,453,44:50:23,24:06:07,CN
1418,1419,2117  - RODRIGUEZ RUIZ Israel ARISTA,V1H,637,44:50:49,24:06:33,ES
1419,1420,338  - LEWIS Matt,V1H,638,44:51:42,24:07:26,US
1420,1421,1618  - GUESNERIE Mickael AIRBUS RUNNING,V1H,639,44:51:58,24:07:42,FR
1421,1421,2011  - DESCHAMPS Dominique AIRBUS RUNNING,V3H,15,44:51:58,24:07:42,FR
1422,1423,2173  - LITEWKA Rafał,SEH,454,44:52:09,24:07:53,PL
1423,1424,1907  - VAVON Antoine,SEH,455,44:52:19,24:08:03,FR
1424,1425,754  - KOOIMAN Andrea WE RUN ORANGE COUNTY'S KIDS,V1F,55,44:52:36,24:08:20,US
1425,1426,2773  - LEE Chesic,V1H,640,44:52:40,24:08:24,KR
1426,1427,1137  - HIPONIA Felmer TEAM BSP/ TEAM AMIHAN/ TEAM MAMAM,SEH,456,44:53:06,24:08:50,PH
1427,1428,2610  - GEORGEAULT Michael,V1H,641,44:54:18,24:10:02,FR
1428,1429,351  - PILET Vincent,V1H,642,44:54:24,24:10:08,FR
1429,1430,900  - STARK Kimberley,V1F,56,44:54:34,24:10:18,CA
1430,1431,337  - SAINT-ETIENNE Frédéric,V1H,643,44:54:38,24:10:22,FR
1431,1432,2236  - XU Jinsong ERQUAN CLUB,V1H,644,44:54:50,24:10:34,CN
1432,1433,2573  - BIELAK Ross,V1H,645,44:55:03,24:10:47,US
1433,1434,1835  - GOUSSIN Jérémy TRAILERS DES ARAVIS,V1H,646,44:55:04,24:10:48,FR
1434,1435,2603  - BIBOLLET-RUCHE Thierry,V2H,195,44:55:50,24:11:34,FR
1435,1436,2650  - SANCHEZ ESPAÑA Daniel,SEH,457,44:56:22,24:12:06,ES
1436,1437,1881  - CHERENCE Julien,SEH,458,44:56:39,24:12:23,FR
1437,1438,1454  - BENAZZOUZ David UACB,V1H,647,44:56:46,24:12:30,FR
1438,1439,331  - KUNG Yu-Chuan,SEH,459,44:56:55,24:12:39,TW
1439,1440,1994  - CASTALDI Olivier KALENJI,V1H,648,44:57:06,24:12:50,FR
1440,1441,2761  - POUPLIN Jean Pierre,V3H,16,44:57:25,24:13:09,FR
1441,1442,932  - ELLESSER Andrea TSV KUSTERDINGEN,V2F,12,44:57:31,24:13:15,DE
1442,1443,1903  - LEPICIER Julie MOISSY CRAMAYEL ATHLETISME,SEF,54,44:57:33,24:13:17,FR
1443,1444,1247  - EUSEBE Danielle TRAILEURS DES ARAVIS,V2F,13,44:58:14,24:13:58,FR
1444,1445,2048  - TEYPAZ Daniel PRAZ DE LYS SOMMAND,V1H,649,44:58:15,24:13:59,FR
