,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
1580,1581,2758  - SIMON François IMPULSION TRAIL,V2H,226,45:32:46,24:48:30,FR
1581,1582,1612  - MANCINI Marco ATLETICA 75,SEH,493,45:32:55,24:48:39,IT
1582,1583,1468  - MIR RODRIGUEZ Manuel OS ANDARINES D´ARAGON,SEH,494,45:32:58,24:48:42,ES
1583,1583,2590  - LABELLA OSES Alfredo ADA JERONIMO ZURITA,V2H,227,45:32:58,24:48:42,ES
1584,1585,2351  - SZAŁKOWSKI Tomasz LIBIąż,V1H,699,45:32:59,24:48:43,PL
1585,1586,1435  - ARAMBURO VILCHES Jorge TRAIL RUNNING ZARAGOZA,SEH,495,45:33:00,24:48:44,ES
1586,1587,1278  - ARRAGON Remi,SEH,496,45:33:06,24:48:50,FR
1587,1588,2904  - OHBA Hiroshi,V2H,228,45:33:23,24:49:07,JP
1588,1589,2787  - ZHANG Rong ACRG,V1H,700,45:33:37,24:49:21,AU
1589,1590,2219  - OREHOVEC Ranko SRD 315 SJEVEROZAPAD,SEH,497,45:34:07,24:49:51,HR
1590,1591,2608  - LO Sik Chi Peak Chaser,V3H,22,45:34:47,24:50:31,HK
1591,1592,2159  - LE CONIAT Maxime,SEH,498,45:34:51,24:50:35,FR
1592,1593,1767  - HINMAN Martin PARIMARA,V1H,701,45:35:21,24:51:05,GB
1593,1594,1200  - FAZIO Francesco ViBO SABY,V1H,702,45:36:00,24:51:44,IT
1594,1595,1673  - GOAT Andrea NAGAYE PROJECT BIKE & RUN,V2H,229,45:36:06,24:51:50,IT
1595,1596,1666  - ZHANG Niuniu,SEH,499,45:36:22,24:52:06,CN
1596,1597,2080  - LEMONSU Stephan SAMOENS TRAIL TEAM,V1H,703,45:37:06,24:52:50,FR
1597,1598,1383  - SZAROWAR Alicja NOWE GRANICE,V1F,63,45:37:08,24:52:52,PL
1598,1599,2538  - BOTTARO Sebastien,SEH,500,45:37:34,24:53:18,FR
1599,1600,2353  - PELHATE Alain,V3H,23,45:38:05,24:53:49,FR
1600,1601,1216  - LETURGIE Romain DSN74,SEH,501,45:38:35,24:54:19,FR
1601,1602,2334  - DUBIE Guy 069069,V3H,24,45:38:37,24:54:21,FR
1602,1603,1470  - LECHABLE Philippe TEAM TRAIL 35,V1H,704,45:38:58,24:54:42,FR
1603,1604,2396  - AUBRY Gildas AUCUN,V1H,705,45:38:59,24:54:43,FR
1604,1605,2577  - FARQUET Jean-Paul TEAM SOMLAPROZ,SEH,502,45:39:10,24:54:54,CH
1605,1606,2771  - LACOSTE Marc,V2H,230,45:39:14,24:54:58,FR
1606,1607,2824  - HO Hui Hin HOT BLOOD HARD PIE,SEH,503,45:39:39,24:55:23,HK
1607,1608,2791  - AU Yan Hei Antony,SEH,504,45:39:49,24:55:33,HK
1608,1609,1853  - CHUI Chi Yuen The Peak Hunter,SEH,505,45:40:39,24:56:23,HK
1609,1610,2422  - GRZESIAK Mateusz CLUB AA,SEH,506,45:40:40,24:56:24,PL
1610,1611,2580  - YEUNG John,SEH,507,45:40:44,24:56:28,HK
1611,1612,1685  - BERSANI Gianni AS ATLETICA PIACENZA,V2H,231,45:41:20,24:57:04,IT
1612,1613,2752  - KINOSHITA Eisuke,V3H,25,45:41:42,24:57:26,JP
1613,1614,1788  - LONEZ Thomas,SEH,508,45:41:55,24:57:39,BE
1614,1614,2008  - WILKINSON Ben,V1H,706,45:41:55,24:57:39,GB
1615,1616,2258  - JÓZEFOWICZ Krzysztof,SEH,509,45:41:59,24:57:43,PL
1616,1617,911  - TOLENTINATI Tania ASD TRAIL ADVENTURE MARCHE,V1F,64,45:42:01,24:57:45,IT
1617,1617,1719  - CAVALLI Beniamino A.S.D. TRAIL ADVENTURE MARCHE,V1H,707,45:42:01,24:57:45,IT
1618,1619,2197  - BENOIT-GONNIN Frank,V1H,708,45:42:08,24:57:52,FR
1619,1620,1401  - SOWINSKI Fabrice AUVERGNE TEAM NATURE TRAIL,V1H,709,45:42:10,24:57:54,FR
1620,1621,2592  - GOMEZ GUTIERREZ Juan Ramón,V1H,710,45:42:20,24:58:04,PY
1621,1622,1055  - PANCINI Jonata ITALPOSE,V1H,711,45:42:52,24:58:36,IT
1622,1623,1637  - CASTELLANA Doriano ITALPOSE,V1H,712,45:42:53,24:58:37,IT
1623,1624,2248  - RABERY Rocío,V1F,65,45:42:57,24:58:41,PY
1624,1625,2212  - SANCHEZ IZQUIERDO Lope AUTODESTRUCCION TRIATHLON,V1H,713,45:43:41,24:59:25,ES
1625,1625,2702  - CULLELL MIRANDA Antonio,V1H,713,45:43:41,24:59:25,ES
1626,1627,839  - WANG Pengfei BERRY RUNNER,SEH,510,45:43:42,24:59:26,CN
1627,1627,2189  - RODRÍGUEZ BUTRAGUEÑO José Antonio AUTODESTRUCCION TRIATLON,V1H,715,45:43:42,24:59:26,ES
1628,1629,2454  - SOUTEYRAND Paul-Emmanuel,SEH,511,45:43:58,24:59:42,FR
1629,1630,2470  - GUO Xiaotian,SEH,512,45:44:06,24:59:50,CN
1630,1631,2489  - KRZCZUK Benedykt,V2H,232,45:44:19,25:00:03,PL
1631,1632,1909  - CHARLET Eric COURIR A COMINES,V1H,716,45:44:33,25:00:17,BE
1632,1633,2075  - VERSCHAEVE Jean-Baptiste COURIR A COMINES,SEH,513,45:44:37,25:00:21,BE
1633,1634,1625  - PENISSON Eric ATHLETIC CLUB PAYS D'ANCENIS,V2H,233,45:44:40,25:00:24,FR
1634,1635,1829  - CADY Nicolas ACPA,SEH,514,45:44:41,25:00:25,FR
1635,1636,1778  - PERETZ Idan RAIDLIGHT ISRAEL,V1H,717,45:44:43,25:00:27,IL
1636,1637,2649  - MOISAN Guillaume ACPA,SEH,515,45:44:44,25:00:28,FR
1637,1638,1590  - BIZEUL Jerome ACPANCENIS,V1H,718,45:44:46,25:00:30,FR
1638,1638,1794  - BOURGET Mickael ACPA,V2H,234,45:44:46,25:00:30,FR
1639,1638,2656  - BERNARD Xavier AC PAREMPUYRE,V1H,718,45:44:46,25:00:30,FR
1640,1641,2812  - FRUEHWIRT-CASATI Ursula MONZA MARATHON TEAM,V2F,18,45:44:48,25:00:32,AT
1641,1642,1580  - LLADÓ VILLANUA David LA PIFIA ST,V1H,720,45:44:50,25:00:34,ES
1642,1643,1748  - MATSUNO Shunya,ESH,3,45:44:52,25:00:36,JP
1643,1644,835  - BETEMPS Elena,SEF,63,45:44:55,25:00:39,IT
1644,1645,415  - CHUNG Franklin,SEH,516,45:45:02,25:00:46,US
1645,1646,1288  - FAUGERAS Gilles ASO NTN-SNR,V1H,721,45:45:19,25:01:03,FR
1646,1647,1426  - SADAZUKA Kazuhisa HAIKUNOKAI,SEH,517,45:45:27,25:01:11,JP
1647,1648,2257  - GOUIN Christophe EA CHAMBERY,V2H,235,45:45:38,25:01:22,FR
1648,1649,1178  - SOH Hian Lim,V2H,236,45:45:39,25:01:23,MY
1649,1650,2542  - ZHANG Yuren,V1H,722,45:46:18,25:02:02,CN
1650,1651,1911  - JI Yuan,V1H,723,45:46:19,25:02:03,CN
1651,1652,2099  - THOMSON Mark,V2H,237,45:46:26,25:02:10,GB
1652,1653,2572  - CHIU Ping Yu Eric FREE BOYS CLUB,SEH,518,45:46:29,25:02:13,CN
1653,1654,716  - PETRONE Michele TEAM ANIMATRAIL,V1H,724,45:47:08,25:02:52,IT
1654,1655,2326  - DUNDON Stephen MONT KIARA RUNNING CLUB (MKRC),SEH,519,45:47:17,25:03:01,AU
1655,1656,2136  - HAMAMOTO Shingo,V1H,725,45:47:32,25:03:16,JP
1656,1657,2273  - VOILLAUME Fabrice,V2H,238,45:48:24,25:04:08,FR
1657,1658,432  - SHORTER Nick,V1H,726,45:48:47,25:04:31,GB
1658,1659,987  - MORAT Murielle KALENJI TEAM,V1F,66,45:49:13,25:04:57,FR
1659,1660,2466  - CHABOREL Yves ASPTT VERDUN,V3H,26,45:49:14,25:04:58,FR
1660,1661,2911  - WRIGHT Christopher SETTLE HARRIERS,V2H,239,45:49:40,25:05:24,GB
1661,1662,999  - KONDA Kazumi,V2F,19,45:50:06,25:05:50,JP
1662,1663,2426  - FIORE Paolo,V2H,240,45:50:34,25:06:18,IT
1663,1664,1626  - SHELLARD Gareth,SEH,520,45:50:44,25:06:28,GB
1664,1665,2211  - LARA Rodrigo KRUNNERS,SEH,521,45:50:53,25:06:37,CL
1665,1666,2154  - CAMINITA Vincenzo,V2H,241,45:51:03,25:06:47,IT
1666,1667,2571  - MCGREGOR Ian,V3H,27,45:51:09,25:06:53,AU
1667,1668,2748  - DIAZ Samuel TEAM - ONE,V1H,727,45:51:12,25:06:56,ES
1668,1669,2323  - MAGNANI Marc AC PASSY SALLANCHES SPAC,V2H,242,45:51:42,25:07:26,FR
1669,1670,1154  - JOHNSON Stephanie,V2F,20,45:52:18,25:08:02,US
1670,1670,1389  - CHELLINO Trena,V2F,20,45:52:18,25:08:02,US
1671,1672,1743  - JOUFFROY Romain,V1H,728,45:53:13,25:08:57,FR
1672,1673,1798  - LYSIONOK Sergej CYPRUS TRAIL RUNNERS,SEH,522,45:53:18,25:09:02,LT
1673,1674,1993  - BEZRUKOVAS Nerijus,V1H,729,45:53:19,25:09:03,LT
1674,1675,2788  - YANG Sihui Arrow,SEH,523,45:53:20,25:09:04,CN
1675,1676,2770  - LAMOTTE Yann,V1H,730,45:53:56,25:09:40,FR
1676,1677,2481  - TAM Man Yiu,V3H,28,45:54:00,25:09:44,HK
1677,1678,2138  - RONCHETTI Massimiliano,V1H,731,45:54:11,25:09:55,IT
1678,1679,2427  - MAEDA Atsuyuki,V2H,243,45:54:17,25:10:01,JP
1679,1680,2560  - SCHIAFFONATI Pietro LUPI D'APPENNINO,SEH,524,45:54:33,25:10:17,IT
1680,1681,1205  - BIN Peng,SEF,64,45:54:38,25:10:22,CN
1681,1682,2537  - HEANEY Andrew,V2H,244,45:54:46,25:10:30,GB
1682,1683,2000  - LEE Ying Kit,V1H,732,45:55:54,25:11:38,HK
1683,1684,2585  - MIYAKE Katsumi,V3H,29,45:56:21,25:12:05,JP
1684,1685,2388  - GUERIOT Fabrice RUNNING CLUB CHATENOIS(88),V1H,733,45:56:36,25:12:20,FR
1685,1686,2914  - MARTIN Thomas,V3H,30,45:57:08,25:12:52,AU
1686,1687,2437  - JAWOREK Henryk,V2H,245,45:57:12,25:12:56,DE
1687,1688,2646  - SALOME Alain RONCHIN ATHLETIC CLUB,V2H,246,45:57:13,25:12:57,FR
1688,1689,2774  - WYATT David SADDLEWORTH RUNNERS,V1H,734,45:57:14,25:12:58,GB
1689,1690,1238  - POH Seivland,V1F,67,45:57:16,25:13:00,SG
1690,1691,1793  - SALOME Edeltraud RONCHIN ATHLETIC CLUB,V2F,22,45:57:24,25:13:08,DE
1691,1692,2683  - YEUNG Wing Kent The Peak Hunter,SEH,525,45:57:33,25:13:17,HK
1692,1693,2664  - MARTLAND Tim LYMM RUNNERS,V2H,247,45:58:16,25:14:00,GB
1693,1694,2733  - HUI Anthony,V2H,248,45:58:30,25:14:14,GB
1694,1695,2681  - GAMBARDELLA Cesare,V2H,249,45:58:38,25:14:22,IT
1695,1696,334  - ARAKI Tomonori COLUMBIA SPORTWEAR,V1H,735,45:58:40,25:14:24,JP
1696,1697,2846  - SHEN Jun LP SUPPORT,SEH,526,45:58:54,25:14:38,CN
1697,1698,2425  - BARTHELEMY Antoine RCF ISSY AVIA,V2H,250,45:58:55,25:14:39,FR
1698,1699,969  - KUONG Hou Wa,SEH,527,45:59:04,25:14:48,PT
1699,1700,2365  - MAGBANUA Manuel Jr ARTrunning: Antique Road and Trail Running,V1H,736,45:59:25,25:15:09,PH
1700,1701,2688  - PECQUEUX Philippe FOULEES DE ST GERMAIN EN LAYE,V2H,251,45:59:38,25:15:22,FR
1701,1702,2722  - WACKER Laurent,V1H,737,45:59:52,25:15:36,FR
1702,1703,1302  - XU Wenwei QUAN^2,V1H,738,45:59:58,25:15:42,CN
1703,1704,2409  - CYPIERE Fabien CA BELVES,SEH,528,46:00:24,25:16:08,FR
1704,1705,2418  - AGUSTIN VALLES Jose Jaime S.M. C.A. CAFETERIAS WILLIAM,V2H,252,46:00:58,25:16:42,ES
1705,1706,1538  - NERVI Massimo G.S.D. EUROBIKE SWIM AND RUN,V1H,739,46:00:59,25:16:43,IT
1706,1707,2459  - MARTINEZ ORTUNO Juan Carlos S.M. C.A. CAFETERIAS WILLIAM,V2H,253,46:01:00,25:16:44,ES
1707,1708,2357  - BRUNA GIMENEZ Antonio S.M.CLUB DE ATLETISMO CAFETERIAS WILLIAM,V1H,740,46:01:01,25:16:45,ES
1708,1709,1749  - BIZET Yves,SEH,529,46:01:11,25:16:55,FR
1709,1710,2040  - GRUBB Robb Clevedon AC,V2H,254,46:01:16,25:17:00,GB
1710,1711,2076  - BIZET Christophe,V1H,741,46:01:22,25:17:06,FR
1711,1712,2797  - IENG Cheung V RUN,SEF,65,46:01:34,25:17:18,MO
1712,1713,2636  - ITO Kento,V1H,742,46:02:13,25:17:57,JP
1713,1714,2521  - MASSON Julien VexinTrail Association,V1H,743,46:02:22,25:18:06,FR
1714,1715,1700  - PALOUS Martine,V2F,23,46:02:54,25:18:38,FR
1715,1715,2661  - SMOLUCK Jean Marie,V2H,255,46:02:54,25:18:38,FR
1716,1717,1901  - FUKUYAMA Kiyomi TEAM VIVA LA VIDA,V2F,24,46:03:14,25:18:58,JP
1717,1718,2411  - YUAN Zhenglin,SEH,530,46:03:17,25:19:01,CN
1718,1719,2364  - IDA Takashi T-FARM,V1H,744,46:03:33,25:19:17,JP
1719,1720,2534  - BAJOHR Harald TEAM SOQ.DE,V2H,256,46:04:19,25:20:03,DE
1720,1721,352  - TORRES Frank,V1H,745,46:04:28,25:20:12,ES
1721,1722,2400  - SIBAL Joseph MOUNTAIN GOAT PILIPINAS / MARUPOK,SEH,531,46:04:59,25:20:43,PH
1722,1723,1908  - LEPROUST Mathilde CIV CHEVREUSE,V1F,68,46:05:34,25:21:18,FR
1723,1724,2823  - HE Zhenhua DUNELM RUNNING TEAM,SEH,532,46:05:35,25:21:19,CN
1724,1725,2720  - BOVO Nicolas,V1H,746,46:06:02,25:21:46,FR
1725,1726,2497  - SANTOS Romão SALAMANDRECOS,V1H,747,46:07:29,25:23:13,PT
1726,1727,2686  - HASHIUCHI Kazuo,V1H,748,46:07:35,25:23:19,JP
1727,1728,2181  - LOURENÇO João SALAMANDRECOS,V2H,257,46:07:36,25:23:20,PT
1728,1729,2849  - TSE Ken,SEH,533,46:07:44,25:23:28,HK
1729,1730,1739  - CUTIN Matthieu SMAC,SEH,534,46:09:08,25:24:52,FR
1730,1731,2039  - GAYARD Hervé SMAC,V2H,258,46:09:45,25:25:29,FR
1731,1732,1927  - MIRRA Serge SMAC,V1H,749,46:09:48,25:25:32,FR
1732,1733,2628  - KONUMA Akira,V1H,750,46:10:14,25:25:58,JP
1733,1734,422  - DONG Yun TEAM GUANGZHOU TEMA,V1H,751,46:10:20,25:26:04,CN
1734,1735,1845  - YANAGIHARA Takashi RIDGE-I,SEH,535,46:10:55,25:26:39,JP
1735,1736,2647  - TONOLLA Riccardo,V3H,31,46:11:16,25:27:00,CH
1736,1736,2747  - RAST Fabian,SEH,536,46:11:16,25:27:00,CH
1737,1738,2077  - CHAIKANARAKKUL Chumpol ULTRA BANGKOK,V1H,752,46:12:20,25:28:04,TH
1738,1739,2676  - DOTTI Francesco Piero,V2H,259,46:13:05,25:28:49,IT
1739,1740,2450  - DAVID Olivier,V2H,260,46:13:11,25:28:55,FR
1740,1741,2216  - REPETTO Vittorio,V2H,261,46:13:16,25:29:00,IT
1741,1742,1969  - TANG William,V1H,753,46:13:21,25:29:05,HK
1742,1742,2380  - MARTI MASES Antoni ESPORTS QUEROL- PEDALA.CAT,V1H,753,46:13:21,25:29:05,ES
1743,1744,1670  - CHANKSELIANI Larissa,V2F,25,46:13:25,25:29:09,CA
1744,1745,2184  - KISSIYAR Ouns,V1H,755,46:13:49,25:29:33,BE
1745,1746,2209  - FILATOVA Nataliia ENDURANCE SCHOOL,SEF,66,46:14:39,25:30:23,UA
1746,1747,2034  - NAKAYA Tomohiro,SEH,537,46:16:03,25:31:47,JP
1747,1748,2745  - LEUNG Chun Bong LIFE FEVER,V1H,756,46:16:31,25:32:15,HK
1748,1749,2602  - DECOUDIER Jean Michel ASSOCIATION NEUVILLE ATHLETISME,V1H,757,46:17:24,25:33:08,FR
1749,1750,2643  - MARIN Laurent,V1H,758,46:18:10,25:33:54,FR
1750,1751,2464  - KOGA Eizo TEAM YAMAZAKI,V1H,759,46:18:23,25:34:07,JP
1751,1752,1249  - FOLKERSMA Jacco,V2H,262,46:18:46,25:34:30,NL
1752,1752,2413  - CORDI' Francesco,V1H,760,46:18:46,25:34:30,IT
1753,1754,1606  - CHICAULT Isabelle,V2F,26,46:19:47,25:35:31,FR
1754,1755,2054  - MORI Misako,V1F,69,46:20:17,25:36:01,JP
1755,1756,1403  - DE CORDOVA July,V2F,27,46:20:29,25:36:13,GT
1756,1757,2568  - MAEDA Hirotsugu,V2H,263,46:20:37,25:36:21,JP
1757,1758,2884  - OINUMA Shiro TANZAWA,V1H,761,46:20:44,25:36:28,JP
1758,1759,2613  - KISHI Nobuo TEAM VIVA LA VIDA,V3H,32,46:21:46,25:37:30,JP
1759,1760,2634  - SAUTIERE Michel,SEH,538,46:21:48,25:37:32,FR
1760,1761,2308  - AYLLON Jean Christophe,V2H,264,46:21:51,25:37:35,FR
1761,1762,1929  - MUI Benny TKO SPORT AND TRIATHLON CLUB,V1H,762,46:22:21,25:38:05,HK
1762,1763,1395  - SERAFIN Eleonora,V1F,70,46:22:45,25:38:29,IT
1763,1764,2751  - HENG Bou,V1H,763,46:23:24,25:39:08,FR
1764,1765,2378  - GYÖRGYI Gábor MAVIR SE,V1H,764,46:23:30,25:39:14,HU
1765,1766,1924  - ISONO Reika,V1F,71,46:24:00,25:39:44,JP
1766,1767,2235  - SUN Zhe Jinan Wild Horse Triathlon Club,V1H,765,46:24:08,25:39:52,CN
1767,1768,2708  - MCGRATH Richard,V1H,766,46:25:31,25:41:15,GB
1768,1769,1221  - PENELOUX Christine US EZANVILLE-ECOUEN,V1F,72,46:27:31,25:43:15,FR
1769,1770,1493  - YOSHIDA Kazutaka MEDIASEEK,V1H,767,46:27:32,25:43:16,JP
1770,1771,2645  - ROSENDAHL Christoph,V2H,265,46:27:47,25:43:31,CH
1771,1772,1978  - BOYLE David LUMPERS,V1H,768,46:31:23,25:47:07,IE
1772,1773,1330  - MARLOT Samuel XTTRAID63,V1H,769,46:33:07,25:48:51,FR
1773,1774,2536  - BIAUNIÉ Jean-Marie CAM VALLEE DU CHER-CONTROIS,V2H,266,46:33:09,25:48:53,FR
1774,1775,1343  - MUIRHEAD Lorna,V1F,73,46:35:28,25:51:12,GB
1775,1776,2264  - YAMANE Satoshi,V1H,770,46:54:43,26:10:27,JP
1776,1777,2631  - SCHUHMANN Marc,V2H,267,46:56:30,26:12:14,FR
1777,1778,2707  - BENMAMMAR Abdennour LE MEE SPORT,V1H,771,46:56:51,26:12:35,FR
