,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
76,77,150  - AVENIER Delphine CMBM,V1F,1,28:35:23,08:16:16,FR
77,78,813  - BASTIAENS Wim YELLOW CITY BASTARDS,V1H,21,28:43:17,08:24:10,BE
78,79,566  - ORTIZ FABREGAS Mario TEAM FLOWERS,SEH,45,28:44:41,08:25:34,ES
79,80,151  - BARTHA Balint CSM Odorheiu Secuiesc - FEEL GOOD TEAM,SEH,46,28:47:08,08:28:01,RO
80,81,569  - SASS Alexander CMBM,V1H,22,28:53:27,08:34:20,DE
81,82,686  - MCARTHUR Brian,V1H,23,28:55:55,08:36:48,CA
82,83,69  - XIANG Fuzhao 探路者TOREAD,SEF,9,28:57:26,08:38:19,CN
83,84,1005  - LUISIER Jean-Grégoire,SEH,47,29:03:47,08:44:40,CH
84,85,651  - OHLER Michael TSV 1886 KANDEL,V2H,4,29:10:21,08:51:14,DE
85,86,857  - WINKLER Till 3MOUNTAIN NETWORK,V1H,24,29:11:21,08:52:14,DE
86,87,634  - PROT Marko PLEZALNI KLUB MARTINčEK,V1H,25,29:11:37,08:52:30,SI
87,88,614  - MARRIAGE Nick,SEH,48,29:12:16,08:53:09,GB
88,89,45  - LIANG Jing 探路者TOREAD,SEH,49,29:15:40,08:56:33,CN
89,90,515  - ORO Franco ANSILTA,SEH,50,29:16:47,08:57:40,AR
90,91,799  - CRUZ BRAVO Jorge SPORT CITY,V1H,26,29:16:54,08:57:47,MX
91,92,572  - CARDIN Franck ACPA,V1H,27,29:18:06,08:58:59,FR
92,93,314  - LI Junfeng TEAM VIBRAM,SEH,51,29:19:04,08:59:57,CN
93,94,563  - STIMPFLE Johannes INOV-8 | BRIXENTAL CONNECTION,SEH,52,29:19:12,09:00:05,DE
94,95,542  - GAPIHAN Pierre,SEH,53,29:22:26,09:03:19,FR
95,96,95  - DOI Takashi,SEH,54,29:23:16,09:04:09,JP
96,97,605  - BUTCHER Charlie,SEH,55,29:25:46,09:06:39,GB
97,98,82  - YU Yunhui 坚驰,V1H,28,29:31:11,09:12:04,CN
98,99,2752  - MIEL Antoine,SEH,56,29:31:16,09:12:09,FR
99,100,543  - HANAOKA Naoyoshi,V1H,29,29:32:14,09:13:07,JP
100,101,652  - SWIDEREK Jacek,V1H,30,29:35:04,09:15:57,PL
101,102,732  - BOURGETEAU Guillaume,V1H,31,29:35:14,09:16:07,FR
102,103,537  - MARGEIRSDOTTIR Elisabet 66°NORTH,SEF,10,29:37:23,09:18:16,IS
103,104,848  - HEWARD Sam ULTRA X RC,SEH,57,29:39:54,09:20:47,GB
104,105,688  - PENNEQUIN Nicolas RRUN LYON - TOR,SEH,58,29:44:35,09:25:28,FR
105,106,579  - WAMSTER David UA SOCIETE GENERALE,V1H,32,29:47:59,09:28:52,FR
106,107,640  - MONTES LOMBAO Iván,SEH,59,29:49:45,09:30:38,ES
107,108,137  - HALL Cordis ADIDAS INFINITE TRAILS,SEH,60,29:51:13,09:32:06,US
108,109,327  - BONNARD Julien OVERSTIM.S ASIA!,V1H,33,29:51:55,09:32:48,FR
109,110,386  - ELEZOVIC Erik,V1H,34,29:57:21,09:38:14,SI
110,111,105  - ORAVAMÄKI Maija SALOMON-SUUNTO TRAIL TEAM FINLAND,V1F,2,30:03:37,09:44:30,FI
111,111,549  - VINCO Giulia,SEF,11,30:03:37,09:44:30,IT
112,113,1033  - SANTOS Nuno FULHAM RUNNING CLUB,V1H,35,30:08:57,09:49:50,GB
113,114,860  - ÁLVAREZ Jorge TODOVERTICAL+,V1H,36,30:10:21,09:51:14,ES
114,115,716  - BERRUEL Xavier,V1H,37,30:10:22,09:51:15,CA
115,116,96  - GREIG Kyle METRO ABERDEEN,SEH,61,30:14:55,09:55:48,GB
116,117,519  - FORNONI Daniele TRAILMARKET RACING TEAM,V2H,5,30:17:21,09:58:14,IT
117,118,622  - CACHARD Olivier CLERMONT SPORT ENDURANCE,V2H,6,30:18:10,09:59:03,FR
118,119,670  - NORTON Howard ADELAIDE HARRIES,V2H,7,30:18:32,09:59:25,AU
119,120,132  - BRAND Naomi,SEF,12,30:19:48,10:00:41,ZA
120,121,608  - LEVESQUE Anthony,V1H,38,30:20:20,10:01:13,FR
121,122,783  - REBEYROTTE Pascal,SEH,62,30:20:33,10:01:26,FR
122,123,2771  - APARICIO Javi,SEH,63,30:22:40,10:03:33,ES
123,124,536  - MORIN olivier TEAM TRACE DE TRAIL,V1H,39,30:26:59,10:07:52,FR
124,125,379  - KABURAKI Tsuyoshi THE NORTH FACE,V2H,8,30:30:21,10:11:14,JP
125,126,320  - RUIZ VELEZ Domingo CAFE MAMA SAME,V1H,40,30:31:19,10:12:12,ES
126,127,310  - BAYKOVA Yulia TEAM VIBRAM,SEF,13,30:33:58,10:14:51,RU
127,128,941  - KOPONEN Tuomas,SEH,64,30:35:07,10:16:00,FI
128,129,2773  - BAKER Loren,SEH,65,30:36:45,10:17:38,US
129,130,942  - LAVING Jean-Marc,V1H,41,30:42:35,10:23:28,FR
130,131,704  - VICENTE GONZALEZ Carlos LOS MACHACA PIEDRAS,V1H,42,30:43:07,10:24:00,ES
131,132,308  - ROZE Thomas ASPTT,SEH,66,30:43:23,10:24:16,FR
132,133,552  - FRANKOWSKI Michal,SEH,67,30:44:07,10:25:00,PL
133,134,984  - KIRILLOV Pavel Salomon Russia,SEH,68,30:45:14,10:26:07,RU
134,135,135  - DIOGO Leonardo CLUBE AVENTURA DA MADEIRA,V2H,9,30:46:42,10:27:35,PT
135,136,731  - BARGER Dan AUBURN CALIFORNIA ULTRA RUNNERS,V2H,10,30:47:00,10:27:53,US
136,137,684  - ŻARECKI Łukasz,SEH,69,30:47:07,10:28:00,PL
137,138,392  - CLERC Christophe,V1H,43,30:47:12,10:28:05,FR
138,139,970  - PÉREZ BERGADO Aitor,SEH,70,30:48:55,10:29:48,ES
139,140,103  - PAJEAN Patrice INTERSPORT-SALOMON,V1H,44,30:50:05,10:30:58,FR
140,141,532  - BIARD Antoine A PY TRAINING / UGLOW,SEH,71,30:51:28,10:32:21,FR
141,142,946  - CHATAWAY Matthew MORNINGTON CHASERS,SEH,72,30:57:00,10:37:53,GB
142,143,939  - BESSIN Pascal CO SUD ESSONNE,V2H,11,31:05:48,10:46:41,FR
143,144,104  - BLANCHET Juliette TEAM VIBRAM,V1F,3,31:06:26,10:47:19,FR
144,145,849  - JONES Dominic,SEH,73,31:08:06,10:48:59,GB
145,146,702  - LIU Fo Lok Apexsports,SEH,74,31:13:52,10:54:45,HK
146,147,571  - CACHARD Sabrina CLERMONT SPORT ENDURANCE,V1F,4,31:23:30,11:04:23,FR
147,148,81  - FONSECA Mário NAST - NUCLEO ASSOCIATIVO SANTO TIRSO,SEH,75,31:24:50,11:05:43,PT
148,149,1292  - ALEXANDRU Nicolae,V1H,45,31:27:11,11:08:04,RO
149,150,699  - AYDIN Uğur Vahtettin OYAK MADEN METALURJİ,V1H,46,31:28:37,11:09:30,TR
150,151,806  - PETTERSSON Andreas LONESONE RUNNERS,V1H,47,31:28:54,11:09:47,SE
151,152,725  - JERMANN Sandro,SEH,76,31:29:24,11:10:17,CH
152,153,451  - MARMET Nicholas,SEH,77,31:30:53,11:11:46,US
153,154,595  - CANCELO BARBEITO Fernando ARTABROS,V1H,48,31:30:57,11:11:50,ES
154,155,47  - EMMERSON Kellie,SEF,14,31:31:01,11:11:54,AU
155,156,533  - TEISHU Kohata Runboys!Rungirls!,V1H,49,31:32:13,11:13:06,JP
156,157,570  - REDFERN Stephen,V1H,50,31:32:21,11:13:14,AU
157,158,2792  - DAVIES Robin,SEH,78,31:35:49,11:16:42,GB
158,159,644  - DESBOS Nicolas EA TAIN TOURNON,V1H,51,31:37:23,11:18:16,FR
159,160,109  - GOUDARD Sebastien S/L EA TAIN TOURNON,SEH,79,31:37:24,11:18:17,FR
160,161,999  - DAMESIN Julien GRANDE MOTTE TRIATHLON,V1H,52,31:38:09,11:19:02,FR
161,162,122  - ROBERT Merile USSA SETE,V1H,53,31:38:48,11:19:41,FR
162,163,545  - BONFANTE Marco G.P. AVIS MALAVICINA,SEH,80,31:40:31,11:21:24,IT
163,164,665  - DELEZE Julien HOKA TEAM SUISSE,SEH,81,31:41:59,11:22:52,CH
164,165,523  - MERMET Cédric HAUT-JURA SKI,V1H,54,31:44:28,11:25:21,FR
165,166,9  - KOTKA Mimmi SALOMON,SEF,15,31:46:21,11:27:14,SE
166,167,618  - MALHERBE Martin,V1H,55,31:46:53,11:27:46,ZA
167,168,149  - CUSSOT Sylvaine CA BALMA,SEF,16,31:48:10,11:29:03,FR
168,169,683  - SCHLOFFEL Janko HARZER ULTRA RUNNING TEAM,V2H,12,31:48:13,11:29:06,DE
169,170,828  - CAPRARO Paolo ASD ATINA TRAIL RUNNING,V1H,56,31:50:46,11:31:39,IT
170,171,809  - SALOM Olivier RTN30,V2H,13,31:51:52,11:32:45,FR
171,172,544  - DUARTE Cesar ADAMARANTE TRAIL RUNNING,SEH,82,31:52:10,11:33:03,PT
172,173,1136  - PAWŁOWSKI Tomasz TEAM PLESZEW,V1H,57,31:52:30,11:33:23,PL
173,174,632  - GARCIA GUTIERREZ Miguel Angel AIIIIIIIADELANTE TEAM,V3H,1,31:58:09,11:39:02,ES
174,175,598  - FARIOLI Alberto,V1H,58,32:02:28,11:43:21,IT
175,176,1011  - WOODIER Tim MYNYDD DU,SEH,83,32:04:08,11:45:01,GB
176,177,945  - SILVA Helder PAREDES AVENTURA,V1H,59,32:04:09,11:45:02,PT
177,178,1669  - HARVEY David,SEH,84,32:05:18,11:46:11,GB
178,179,2837  - SAUNDERS Steven,SEH,85,32:13:59,11:54:52,GB
179,180,811  - DEMANGE Olivier,SEH,86,32:15:17,11:56:10,FR
180,181,740  - MIEVRE Sebastien,V1H,60,32:17:30,11:58:23,FR
181,182,628  - SIMOES Susana EDV - VIANA TRAIL,V1F,5,32:21:59,12:02:52,PT
182,183,2856  - LI Haifeng JIANCHI,V1H,61,32:22:59,12:03:52,CN
183,184,673  - BOAS Xavier Team trail running store Annecy,SEH,87,32:25:18,12:06:11,FR
184,185,156  - MCRAE Sally NIKE,V1F,6,32:27:06,12:07:59,US
185,186,1109  - LEPPÄLÄ Mika,SEH,88,32:28:11,12:09:04,FI
186,187,967  - DA MOUTA Cyril,SEH,89,32:28:26,12:09:19,FR
187,188,696  - GRY Nicolas ASSA UNNORMALTRAIL,V1H,62,32:31:06,12:11:59,FR
188,189,612  - VILA ARIZA Jordi COS 360º OFFICIAL TEAM,SEH,90,32:33:39,12:14:32,ES
189,190,734  - LAZARO LLORENS Marti MONTPALAU TEAM,SEH,91,32:33:42,12:14:35,ES
190,191,950  - IGLESIAS LOBATO Victor A.D. SINFRONTERAS,V2H,14,32:36:43,12:17:36,ES
191,192,539  - ZHENG Liping,V1F,7,32:38:00,12:18:53,CN
192,193,992  - BARDOT-BRARD Matthieu,SEH,92,32:39:36,12:20:29,FR
193,194,1014  - SARANPÄÄ Teemu West Coast Ultra Runners,V1H,63,32:40:56,12:21:49,FI
194,195,886  - KARLI Benjamin,SEH,93,32:43:13,12:24:06,CH
195,196,723  - DARRIEUTORT Xavier UA SOCIETE GENERALE,V1H,64,32:47:01,12:27:54,FR
196,197,1474  - LY Alexandre,SEH,94,32:49:38,12:30:31,FR
197,198,1300  - KURDIJA Zoran MOGU DUGO,V2H,15,32:49:50,12:30:43,HR
198,199,983  - GODEFROID Emmanuel ARCH,V1H,65,32:49:55,12:30:48,BE
199,200,768  - WITIBSCHLAGER Philipp,SEH,95,32:50:06,12:30:59,AT
200,201,331  - ABLORH Titus COLUMBIA MONTRAIL,SEH,96,32:51:00,12:31:53,CZ
201,202,146  - BOIFAVA Alessandra,V1F,8,32:51:59,12:32:52,IT
202,203,730  - MULLINS Brian ST FINBARRS,SEH,97,32:52:04,12:32:57,IE
203,204,998  - AZORIN MOLINA Jose Antonio C.D.M.E. TRAIL VILLENA,V1H,66,32:52:57,12:33:50,ES
204,205,724  - ROBINSON Jason MKRC,V2H,16,32:53:00,12:33:53,GB
205,205,812  - NICOLAI Jason,SEH,98,32:53:00,12:33:53,CA
206,207,393  - KENT Justin,V2H,17,32:53:01,12:33:54,US
207,208,147  - CASTRO-WOOLDRIDGE Simon,V1H,67,32:53:03,12:33:56,GB
208,209,646  - MICHENET Florian Oloron Ô Béarn Sport Nature,SEH,99,32:54:55,12:35:48,FR
209,210,733  - CROSET Sacha PELLISSIER SPORT,SEH,100,32:54:58,12:35:51,CH
210,211,760  - POUPINET Benoit SPUC LASTERKA,V2H,18,32:56:34,12:37:27,FR
211,212,785  - LONGET Damien SALEVE TRAIL,SEH,101,32:56:45,12:37:38,FR
212,213,556  - TAKASHIMA Yukako RAIDLIGHT ENKAITAI,V1F,9,33:00:41,12:41:34,JP
213,214,703  - VILTROUVE Emmanuel,SEH,102,33:11:15,12:52:08,FR
214,215,1169  - MALLOFRÉ ABANTE Aleix NENS DEL VENDRELL,SEH,103,33:12:26,12:53:19,ES
215,216,656  - URÓ MOMPEL Jordi CLUB ATLETIC TORELLO,SEH,104,33:14:57,12:55:50,ES
216,217,869  - INANAGA Yusuke,V2H,19,33:15:05,12:55:58,JP
217,218,395  - COUSIN Fabien SAFRAN,V1H,68,33:18:26,12:59:19,FR
218,219,378  - BELLES BELLES Eva CLUB MUNTANYA AT-ZENET,V1F,10,33:21:09,13:02:02,ES
219,220,682  - PATTERSON Darryn,SEH,105,33:23:27,13:04:20,ZA
220,221,921  - VAN BINSBERGEN Arjan B-CAT HIGH ALTITUDE TRAILRUNNING,V1H,69,33:25:40,13:06:33,NL
221,222,1246  - BOURDON Etienne,V1H,70,33:25:41,13:06:34,FR
222,223,1437  - STUDENY Lubomir ODDIL2015,V2H,20,33:27:02,13:07:55,CZ
223,224,1395  - SHINOHARA Naoya HONOMARA,SEH,106,33:27:44,13:08:37,JP
224,225,895  - MORI Yoshihiro,SEH,107,33:28:56,13:09:49,JP
225,226,1592  - CHAUVET Guillaume,SEH,108,33:29:17,13:10:10,FR
226,227,882  - JUSCHKA Jordane,SEH,109,33:30:37,13:11:30,FR
227,228,1376  - DE LA CRUZ FIGUEROA Carlos MUR I CASTELL-TUGA,V1H,71,33:31:03,13:11:56,ES
228,229,701  - GATHIER Flavien CAF SAINT ETIENNE,SEH,110,33:34:22,13:15:15,FR
229,230,1042  - IGLESIAS PEREIRA Jose Javier LOS HURONES,V1H,72,33:34:56,13:15:49,ES
230,231,988  - ESPELLETA Gustavo CLUB ATLETISMO ONDA,V1H,73,33:35:02,13:15:55,ES
231,232,335  - CHEN Peng Chung 頭份夜跑團,V1H,74,33:36:32,13:17:25,TW
232,233,819  - CHAMWEHA Poomiphat HOKAONEONE Thailand,SEH,111,33:37:00,13:17:53,TH
233,234,1071  - LE PEIH Fabien UA SOCIETE GENERALE,SEH,112,33:37:23,13:18:16,FR
234,235,759  - GNEMMI Julien,SEH,113,33:37:37,13:18:30,FR
235,236,1114  - BOURGEOIS Jean-Baptiste,SEH,114,33:39:32,13:20:25,FR
236,237,1134  - GERAIN Thomas,V1H,75,33:42:31,13:23:24,FR
237,238,588  - PERRUQUET Rudy POLIZIA LOCALE VDA,V1H,76,33:43:18,13:24:11,IT
238,239,911  - MEDEIROS Andre CAMELBAK OUTDOOR SPORTS,V1H,77,33:43:37,13:24:30,BR
239,240,934  - WATANABE Takahiro STS,V1H,78,33:44:40,13:25:33,JP
240,241,336  - LARSSON Bo,SEH,115,33:47:47,13:28:40,DK
241,242,607  - ENG Erik AKERSBERGA SPRING,V1H,79,33:48:08,13:29:01,SE
242,243,2775  - BARRIONUEVO Nery AFT COMODORO,SEH,116,33:48:15,13:29:08,AR
243,244,404  - AUBERTIN Thibault VHSO,SEH,117,33:48:41,13:29:34,FR
244,245,1230  - BOKMAN Jakob,V2H,21,33:49:35,13:30:28,SE
245,246,658  - GODINEAU Edouard LES VOISINS TRAILEURS - SUNDGOFAST,SEH,118,33:52:26,13:33:19,FR
246,247,390  - EISENHUTH Pierre GANG,SEH,119,33:54:51,13:35:44,BE
247,248,996  - ROMAND Cyrille ACCRORUN VILLEPREUX,V1H,80,33:55:34,13:36:27,FR
248,249,1362  - KOSTRZEVA Fabien VIGATANES DE TRAIL,SEH,120,33:56:12,13:37:05,FR
249,250,669  - JANVIER Arnaud AVOC,SEH,121,33:56:28,13:37:21,FR
250,251,626  - TAPIERO Julien,SEH,122,33:57:39,13:38:32,FR
251,252,516  - BERTINO Chiara podistica torino,V1F,11,33:59:59,13:40:52,IT
252,253,1022  - GARCIA Andoni MANUEL IRADIER M. T.,SEH,123,34:00:04,13:40:57,ES
253,254,767  - URQUIOLA GARCIA Mikel CM GASTEIZ,V1H,81,34:01:44,13:42:37,ES
254,255,319  - KWAN Yee Ting Chris COLUMBIA HONG KONG,V1F,12,34:01:56,13:42:49,HK
255,256,1175  - BILLAUD Fabien,SEH,124,34:02:03,13:42:56,FR
256,257,947  - DELIIVANOV Veselin KOZEL,SEH,125,34:11:05,13:51:58,BG
257,258,666  - VIOUD Jerome BGSA,V1H,82,34:14:37,13:55:30,FR
258,259,2789  - COSTA RODRIGUES Armenio Manuel AZTRAIL/MERCENTRO,V1H,83,34:14:39,13:55:32,PT
259,260,794  - TODA Yoshiki FTRC,SEH,126,34:14:46,13:55:39,JP
260,261,883  - WATSON Alistair SERPENTINE,SEH,127,34:17:07,13:58:00,GB
261,262,793  - RIALLAND Mickaël S/L ATHLETIC CLUB HERBLINOIS,SEH,128,34:17:16,13:58:09,FR
262,262,825  - NAKAMURA Sean SURF,V1H,84,34:17:16,13:58:09,US
263,264,1088  - NAKA Masahiro,SEH,129,34:18:25,13:59:18,JP
264,265,1181  - MAITRE Christophe,V1H,85,34:26:07,14:07:00,FR
265,266,1820  - DELEMONTEZ Didier,V3H,2,34:28:51,14:09:44,FR
266,267,1486  - KOBAYASHI Jun,V1H,86,34:29:13,14:10:06,JP
267,268,1252  - TAKIKAWA Jiro POWERSPORTS,V2H,22,34:31:53,14:12:46,JP
268,269,624  - UENO Akio TEAM100MILE,V1H,87,34:31:55,14:12:48,JP
269,270,866  - GINGREAU Jerome VAL SUSA RUNNING TEAM,V1H,88,34:32:59,14:13:52,FR
270,271,969  - NILSSON Daniel SOCKERTOPPEN IF,V1H,89,34:33:24,14:14:17,SE
271,272,1274  - JULLIEN David SRT,V1H,90,34:33:53,14:14:46,FR
272,273,766  - ANDRES Philippe,V1H,91,34:34:26,14:15:19,FR
273,274,878  - SCHAEFFER Guillaume,SEH,130,34:35:14,14:16:07,FR
274,275,844  - LAGARENNE Alexandre UA SOCIETE GENERALE,SEH,131,34:35:49,14:16:42,FR
275,276,931  - PINEDA CABRERA Carlos G.M.MARGALLO TRAIL,V1H,92,34:36:30,14:17:23,ES
276,277,890  - BOUDET Adrien,SEH,132,34:37:02,14:17:55,FR
277,278,1259  - LE SAUX Yann GRAVITY RUNNING EXPERIENCE,V1H,93,34:39:34,14:20:27,FR
278,279,1052  - MOREAU Thierry RTFAMILY,V2H,23,34:44:49,14:25:42,FR
279,280,818  - BOUCHET Sébastien,V1H,94,34:45:16,14:26:09,FR
280,281,1468  - HUTCHINSON G Brian UCD ROOM 22 RUNNERS,V2H,24,34:45:46,14:26:39,IE
281,282,1514  - LE FICHANT Yohann,SEH,133,34:47:47,14:28:40,FR
282,283,561  - NONORGUE Christophe,SEH,134,34:47:56,14:28:49,CH
283,284,2028  - MAKOWSKI Michal MITANSKI,SEH,135,34:48:12,14:29:05,PL
284,285,435  - DE COLOMBE Godefroy ACBB,V1H,95,34:48:21,14:29:14,FR
285,286,2849  - VANKAT Jan EKONOM PRAHA OUTDOOR,SEH,136,34:48:41,14:29:34,CZ
286,287,824  - DUFOIN Florian AS LIEBHERR,SEH,137,34:48:50,14:29:43,FR
287,288,1060  - GONÇALVES Ricardo ADRAP,SEH,138,34:49:02,14:29:55,PT
288,289,509  - COSTECALDE Sebastien,V1H,96,34:53:41,14:34:34,FR
289,290,909  - CALMELS Stephan CASTRIES RUNNING CLUB,V1H,97,34:53:44,14:34:37,FR
290,291,637  - TOUTAIN Laurent,V2H,25,34:58:34,14:39:27,FR
