,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
0,1,2  - CAPELL Pau THE NORTH FACE,SEH,1,20:19:07,00:00:00,ES
1,2,5  - THEVENARD Xavier,SEH,2,21:07:56,00:48:49,FR
2,3,63  - HAWKER Scott TEAM VIBRAM,SEH,3,21:48:04,01:28:57,NZ
3,4,11  - OWENS Tom SALOMON,SEH,4,22:04:29,01:45:22,GB
4,5,34  - SYMONDS Andrew SCOTT RUNNING,SEH,5,22:35:15,02:16:08,GB
5,6,90  - LOPEZ Joaquin WAA TEAM,SEH,6,22:47:47,02:28:40,EC
6,6,148  - WONG Ho Chung THE NORTH FACE ADVENTURE TEAM,SEH,6,22:47:47,02:28:40,HK
7,8,68  - OBARA Masatoshi ANSWER4,SEH,8,23:00:12,02:41:05,JP
8,9,14  - DOMINGUEZ LEDO Javier TEAM VIBRAM,V1H,1,23:16:03,02:56:56,ES
9,9,29  - GRANGIER Germain,SEH,9,23:16:03,02:56:56,FR
10,11,33  - LUO Canhua HOKA ONE ONE,SEH,10,23:21:17,03:02:10,CN
11,12,72  - KERN Martin TEAM PROVENCE ENDURANCE,SEH,11,23:38:44,03:19:37,FR
12,13,64  - BEAUXIS Guillaume TARBES PYRENEES ATHLETISME,SEH,12,23:41:28,03:22:21,FR
13,14,91  - RUIZ OLLER Lluis NONSTOP MINIMALIST RUNNERS,SEH,13,23:59:49,03:40:42,ES
14,15,32  - JONES Harry HOKA ONE ONE,SEH,14,24:03:53,03:44:46,GB
15,16,87  - JIMENEZ Moises VERT,SEH,15,24:10:39,03:51:32,VE
16,17,130  - KRAH Matthias COMPRESSPORT/ALTRA RUNNING,SEH,16,24:20:45,04:01:38,DE
17,18,27  - COURT Sylvain MERIBEL SPORTS MONTAGNE,SEH,17,24:26:28,04:07:21,FR
18,19,46  - SCHLARB Jason ALTRA FOOTWEAR,V1H,2,24:27:59,04:08:52,US
19,20,89  - FREITAS Francisco ACD JARDIM DA SERRA/ TFALCON MADEIRA,V1H,3,24:29:19,04:10:12,PT
20,21,3  - DAUWALTER Courtney SALOMON,SEF,1,24:34:26,04:15:19,US
21,22,121  - ROVERA René TEAM GARMIN ADVENTURE,V2H,1,24:40:52,04:21:45,FR
22,23,116  - ROUANET Renaud TEAM INSTINCT TRAIL,V1H,4,24:44:27,04:25:20,FR
23,24,119  - GIBLIN Paul COMPRESSPORT INTERNATIONAL,V1H,5,24:53:30,04:34:23,GB
24,25,110  - PARRA HERNANDEZ Vicente CDETM PEDREZUELA,V1H,6,24:55:35,04:36:28,ES
25,26,59  - JONSSON Thorbergur 66 NORTH,SEH,18,24:59:22,04:40:15,IS
26,27,101  - BUET Sebastien ON RUNNING,SEH,19,25:01:15,04:42:08,FR
27,28,134  - LUCAS Jerome TEAM TRAIL BRETAGNE,V1H,7,25:28:56,05:09:49,FR
28,29,74  - BERGLUND Kristin SALOMON RUNNING TEAM AUSTRIA,SEF,2,25:34:12,05:15:05,SE
29,30,39  - CORI Benoit AVIRON BAYONNAIS,SEH,20,25:35:32,05:16:25,FR
30,31,65  - LI Kuo COLUMBIA,SEH,21,25:36:05,05:16:58,CN
31,32,99  - FERRARI Ugo Team Bestioles,SEH,22,25:40:28,05:21:21,FR
32,32,388  - GUIBERT Clement TETE D'OR RUNNERS / LEPAPE LYON,SEH,22,25:40:28,05:21:21,FR
33,34,22  - MAIORA ELIZONDO Maite LIZARPE MK,SEF,3,25:41:30,05:22:23,ES
34,35,43  - CAMUS Sébastien TEAM GARMIN,V1H,8,25:46:10,05:27:03,FR
35,36,136  - MENDOZA GUIL Francisco ALHAMA COYM,V1H,9,25:46:46,05:27:39,ES
36,37,57  - MITYAEVA Ekaterina ADIDAS TERREX,SEF,4,25:53:26,05:34:19,RU
37,38,108  - LARROTCHA Juan Jose PROZIS ATHLETE,V2H,2,25:58:37,05:39:30,ES
38,39,568  - GOLEA Cedric TEAM ENDURANCE SHOP 13,SEH,24,26:00:05,05:40:58,FR
39,40,514  - GIRARD Matthieu TRAILERS VERBIER ST BERNARD,V1H,10,26:03:51,05:44:44,CH
40,41,54  - O'LEARY Paddy THE NORTH FACE,SEH,25,26:05:54,05:46:47,IE
41,42,518  - DYBEK Pawel SALOMON SUUNTO TEAM POLAND,V1H,11,26:08:43,05:49:36,PL
42,43,129  - CURTIN Kyle,SEH,26,26:12:30,05:53:23,US
43,44,708  - ZETENYI András,SEH,27,26:13:32,05:54:25,HU
44,45,60  - PASCALL Beth SALOMON UK,SEF,5,26:26:48,06:07:41,GB
45,45,560  - EDOUARD Simon TAILLEFER TRAIL TEAM,SEH,28,26:26:48,06:07:41,FR
46,47,77  - KIANGCHAIPAIPHANA Jantaraboon THE NORTH FACE ADVENTURE RACE,SEH,29,26:35:30,06:16:23,TH
47,48,312  - LÓPEZ Maximiliano Columbia,SEH,30,26:46:08,06:27:01,AR
48,49,557  - IINO Wataru SAKAIYA,V1H,12,26:46:55,06:27:48,JP
49,50,615  - GAILLARD Benoît UA SOCIETE GENERALE,SEH,31,26:50:34,06:31:27,FR
50,51,120  - OKUNOMIYA Shunsuke FUNTRAILS,V1H,13,27:16:20,06:57:13,JP
51,52,317  - KEITH Eoin COLUMBIA,V2H,3,27:17:13,06:58:06,IE
52,53,554  - FERNANDES DIAS Paulo Cesar FOOTING VALLEE DE JOUX,SEH,32,27:17:38,06:58:31,PT
53,54,387  - TAZI Samir AIX ATHLE PROVENCE*,SEH,33,27:19:34,07:00:27,FR
54,55,531  - TERRANOVA Paul HOKA ONE ONE/CTS ATHLETE,V1H,14,27:22:00,07:02:53,US
55,56,12  - SCHIDE Katie,SEF,6,27:22:56,07:03:49,US
56,57,53  - VIET Vincent TEAM NEW BALANCE,SEH,34,27:26:34,07:07:27,FR
57,58,601  - PIERREL Guillaume Ceramiq,SEH,35,27:27:50,07:08:43,FR
58,59,620  - NICKEL Thomas,V1H,15,27:28:23,07:09:16,DE
59,60,112  - SEMEN Xavier,SEH,36,27:28:40,07:09:33,FR
60,61,654  - FERNANDEZ Gerome,SEH,37,27:28:46,07:09:39,FR
61,62,315  - URETA Pablo COLUMBIA MONTRAIL,V1H,16,27:30:36,07:11:29,AR
62,63,581  - SAPIHA Serhii TURE,V1H,17,27:33:08,07:14:01,UA
63,64,73  - GHELFI Ryan HOKA ONE ONE,SEH,38,27:35:28,07:16:21,US
64,65,647  - ROSADO BATISTA Paulo Sergio,V1H,18,27:39:39,07:20:32,PT
65,66,35  - HAMMOND Mark ALTRA,SEH,39,27:43:56,07:24:49,US
66,67,548  - DELANNOY Elise TOUQUET TRAIL NATURE,SEF,7,27:48:32,07:29:25,FR
67,68,51  - BOSIO Rory THE NORTH FACE,SEF,8,27:59:45,07:40:38,US
68,69,726  - PIERSON Blake,SEH,40,28:02:57,07:43:50,US
69,70,575  - BACHELLA Sebastian ROSARIO CENTRAL,V1H,19,28:06:00,07:46:53,AR
70,71,128  - WERMESCHER Ildiko HOKA ONE ONE,V2F,1,28:13:32,07:54:25,HU
71,72,512  - WEIDMAN William VHTRC,SEH,41,28:23:35,08:04:28,US
72,73,318  - GUIRAUD Thierry,SEH,42,28:25:57,08:06:50,FR
73,74,589  - AMARAL Nelson AMCF-ARRABIDA TRAIL TEAM,V1H,20,28:31:45,08:12:38,PT
74,75,578  - REY CARRERAS Josep Maria,SEH,43,28:32:23,08:13:16,ES
75,76,567  - HELVIG Johan DENIVELE PLUS SAVERNE,SEH,44,28:33:46,08:14:39,FR
